10,25,5600,5300
10,25,2900,3300
10,25,4100,3600
10,25,5100,4200
10,25,3200,3700
10,25,2800,2900
10,25,2700,2900
10,25,2500,2900
10,25,3400,3800
10,25,4200,4100
10,25,3500,3900
10,25,2900,3500
10,25,11800,3000
10,25,4300,2900
10,25,3000,3200
10,25,3600,4500
10,25,5900,4400
10,25,4000,3400
10,25,3000,3400
10,25,2700,3300
10,25,2700,3100
10,25,2600,2900
10,25,3000,3100
10,25,3400,3300
10,25,6600,3600
10,25,4000,3500
10,25,3600,3700
10,25,3400,3000
10,25,3100,2900
10,25,3700,3500
10,25,3300,3100
10,25,4100,3500
10,25,3800,4500
10,25,2900,3200
10,25,3000,3000
10,25,4000,6100
10,25,3100,3800
10,25,4300,3900
10,25,3100,3000
10,25,4400,4100
10,25,5100,4900
10,25,3400,3300
10,25,2600,3000
10,25,3900,4400
10,25,9100,5300
10,25,5400,5700
10,25,4100,3900
10,25,5300,4800
10,25,5400,3400
10,25,4900,5000
10,25,5300,6100
10,25,3800,3700
10,25,2700,3000
10,25,2500,2900
10,25,2500,2800
10,25,2600,2900
10,25,2500,2800
10,25,2500,3000
10,25,3200,3300
10,25,4600,3400
10,25,3400,3400
10,25,3700,3100
10,25,3100,2900
10,25,3000,2900
10,25,3400,3400
10,25,3300,3300
10,25,3100,3400
10,25,3100,2800
10,25,3100,2800
10,25,3500,3300
10,25,5800,7400
10,25,4500,4300
10,25,3600,3000
10,25,3900,2900
10,25,2900,3000
10,25,4500,4300
10,25,4300,3900
10,25,3200,3900
10,25,2600,3000
10,25,2600,2700
10,25,2700,2900
10,25,5000,6600
10,25,4000,4300
10,25,3800,2700
10,25,2300,2600
10,25,2800,3100
10,25,3000,3000
10,25,3200,3200
10,25,3100,3200
10,25,3200,2900
10,25,3500,4000
10,25,4100,3400
10,25,3900,3600
10,25,5600,5000
10,25,7400,4000
10,25,3300,3700
10,25,3100,3500
10,25,3700,3900
10,25,3900,3800
10,25,3400,4200
10,50,5000,4600
10,50,4400,7400
10,50,5600,5000
10,50,4700,4600
10,50,4000,4400
10,50,4200,4600
10,50,4100,7200
10,50,5700,4500
10,50,3300,3900
10,50,4900,4000
10,50,3300,4000
10,50,4600,4100
10,50,3200,3900
10,50,3500,3800
10,50,4500,4200
10,50,4800,4100
10,50,3600,3900
10,50,3700,3900
10,50,3600,3900
10,50,4100,3900
10,50,3600,4100
10,50,7900,4400
10,50,3400,3800
10,50,3900,3500
10,50,7600,6400
10,50,6800,6600
10,50,5400,5500
10,50,4000,3800
10,50,3400,5200
10,50,3100,3500
10,50,4100,3800
10,50,3500,3800
10,50,3200,4000
10,50,3400,3800
10,50,3600,3700
10,50,3400,3900
10,50,4700,3500
10,50,4000,3600
10,50,4400,3800
10,50,3800,3600
10,50,5400,4600
10,50,3400,3800
10,50,3700,3500
10,50,4400,3800
10,50,6500,3600
10,50,5400,5600
